time,state,depth_m,hold_depth_m,yaw_deg,roll_deg,pitch_deg,pressure_hpa,pressure_temperature_c,stabilize,depth_hold_active,yaw_hold_active,gain_percent,control_timeout,mavlink_link_dead
1782483467.3519244,OK,0.0,0.0,-67.39400090171921,-155.34032500926094,-2.6483831839888565,1040.699951171875,24.59,0,0,0,100,0,0
1782483467.452534,OK,0.0,0.0,-67.22975553085035,-155.33980424648482,-2.6454806888553932,1040.699951171875,24.6,0,0,0,100,0,0
1782483467.553218,OK,0.0,0.0,-67.06459283509257,-155.3376127497973,-2.6430133637152484,1040.5,24.6,0,0,0,100,0,0
1782483467.6537943,OK,0.0,0.0,-66.90360692532052,-155.33766033552695,-2.641796976192562,1040.7999267578125,24.6,0,0,0,100,0,0
1782483467.7543547,OK,0.0,0.0,-66.74187532940753,-155.3375219614379,-2.6390186068090995,1040.7999267578125,24.6,0,0,0,100,0,0
1782483467.8549798,OK,0.0,0.0,-66.57887889895211,-155.33657657797744,-2.6368305161787102,1040.4000244140625,24.59,0,0,0,100,0,0
1782483467.9555485,OK,0.0,0.0,-66.41605252623059,-155.33633555065333,-2.6358353596437003,1040.5999755859375,24.6,0,0,0,100,0,0
1782483468.0561137,OK,0.0,0.0,-66.2514923566769,-155.33348882392858,-2.6324660840856735,1041.5,24.59,0,0,0,100,0,0
1782483468.1566966,OK,0.0,0.0,-66.12139953349941,-155.33071553560467,-2.627413113795593,1040.7999267578125,24.59,0,0,0,100,0,0
